film,IMDb ID,Genres
Pulp Fiction,tt0110912,"Crime, Drama"
Ed Wood,tt0109707,"Biography, Drama, Comedy"
Bullets over Broadway,tt0109348,"Crime, Comedy"
Quiz Show,tt0110932,"Biography, Drama, History"
Nell,tt0110638,Drama
Blue Sky,tt0109306,"Drama, Romance"
Tom & Viv,tt0111454,"Biography, Drama, Romance"
Little Women,tt3281548,"Drama, Romance"
The Client,tt0109446,"Crime, Mystery, Drama, Thriller"
Interview with the Vampire,tt0110148,"Fantasy, Drama, Horror"
Legends of the Fall,tt0110322,"War, Western, Drama, Romance"
Red,tt1245526,"Crime, Action, Thriller, Comedy"
Wyatt Earp,tt0111756,"Adventure, Western, Biography, Drama"
"The Adventures of Priscilla, Queen of the Desert",tt0109045,"Comedy, Music"
Maverick,tt0110478,"Adventure, Western, Action, Comedy"
Queen Margot,tt0110963,"Biography, Drama, History, Romance"
Complaints of a Dutiful Daughter,tt0109465,"Documentary, Short"
D-Day Remembered,tt0109519,"Biography, Documentary, History"
Freedom on My Mind,tt0109839,Documentary
A Great Day in Harlem,tt0109934,"Documentary, Music"
Maya Lin: A Strong Clear Vision,tt0110480,"Biography, Documentary"
Blues Highway,tt0109308,"Documentary, Short"
89mm od Europy (89mm from Europe),Not found,N/A
School of Assassins,tt0111088,Short
Straight from the Heart,tt0150992,"Musical, Drama, Comedy, Romance"
A Time for Justice,tt0111436,"Documentary, Short"
Hoop Dreams,tt0110057,"Sport, Drama, Documentary"
Speed,tt0111257,"Adventure, Action, Thriller"
Before the Rain,tt0110882,"War, Drama, Romance"
Burnt by the Sun,tt0111579,"War, Drama"
Eat Drink Man Woman,tt0111797,"Drama, Comedy, Romance"
Farinelli: Il Castrato,tt0109771,"Biography, Drama, Music"
Strawberry and Chocolate,tt0106966,"Drama, Comedy, Romance"
Mary Shelley's Frankenstein,tt0109836,"Horror, Drama, Romance, Sci-Fi"
The Lion King,tt0110357,"Animation, Drama, Family, Musical, Adventure, Fantasy"
Junior,tt0110216,"Sci-Fi, Comedy, Romance"
The Paper,tt0110771,"Drama, Comedy"
Four Weddings and a Funeral,tt0109831,"Drama, Comedy, Romance"
